x-axis,1,2
second,Volt,Volt
+476.562E-06,-189.397745E-03,-27.997134E-03
+478.125E-06,-217.575434E-03,-31.172385E-03
+479.687E-06,-245.753123E-03,-34.347636E-03
+481.250E-06,-273.930813E-03,-37.522887E-03
+482.812E-06,-302.108502E-03,-40.698139E-03
+484.375E-06,-330.286192E-03,-43.873390E-03
+485.937E-06,-323.653026E-03,-43.631556E-03
+487.500E-06,-317.019859E-03,-43.389722E-03
+489.062E-06,-310.386693E-03,-43.147887E-03
+490.625E-06,-303.753527E-03,-42.906053E-03
+492.187E-06,-297.120361E-03,-42.664219E-03
+493.750E-06,-290.487195E-03,-42.422385E-03
+495.312E-06,-283.854029E-03,-42.180551E-03
+496.875E-06,-277.220863E-03,-41.938717E-03
+498.437E-06,-270.587697E-03,-41.696882E-03
+500.000E-06,-263.954531E-03,-41.455048E-03
+501.562E-06,-240.924179E-03,-40.415475E-03
+503.125E-06,-217.893826E-03,-39.375903E-03
+504.687E-06,-194.863474E-03,-38.336330E-03
+506.250E-06,-171.833121E-03,-37.296757E-03
+507.812E-06,-148.802768E-03,-36.257184E-03
+509.375E-06,-125.772416E-03,-35.217611E-03
+510.937E-06,-102.742063E-03,-34.178038E-03
+512.500E-06,-79.711711E-03,-33.138465E-03
+514.062E-06,-56.681358E-03,-32.098893E-03
+515.625E-06,-33.651006E-03,-31.059320E-03
+517.187E-06,-26.089197E-03,-28.298641E-03
+518.750E-06,-18.527387E-03,-25.537963E-03
+520.312E-06,-10.965578E-03,-22.777285E-03
+521.875E-06,-3.403769E-03,-20.016606E-03
+523.437E-06,+4.158041E-03,-17.255928E-03
+525.000E-06,+11.719850E-03,-14.495250E-03
+526.562E-06,+19.281659E-03,-11.734571E-03
+528.125E-06,+26.843468E-03,-8.973893E-03
+529.687E-06,+34.405278E-03,-6.213214E-03
+531.250E-06,+41.967087E-03,-3.452536E-03
+532.812E-06,+64.281058E-03,+1.136032E-03
+534.375E-06,+86.595028E-03,+5.724599E-03
+535.937E-06,+108.908999E-03,+10.313167E-03
+537.500E-06,+131.222969E-03,+14.901735E-03
+539.062E-06,+153.536940E-03,+19.490303E-03
+540.625E-06,+175.850911E-03,+24.078871E-03
+542.187E-06,+198.164881E-03,+28.667438E-03
+543.750E-06,+220.478852E-03,+33.256006E-03
+545.313E-06,+242.792822E-03,+37.844574E-03
+546.875E-06,+265.106793E-03,+42.433142E-03
+548.438E-06,+267.096743E-03,+42.665554E-03
+550.000E-06,+269.086693E-03,+42.897966E-03
+551.563E-06,+271.076642E-03,+43.130378E-03
+553.125E-06,+273.066592E-03,+43.362790E-03
+554.688E-06,+275.056542E-03,+43.595202E-03
+556.250E-06,+277.046492E-03,+43.827614E-03
+557.813E-06,+279.036442E-03,+44.060026E-03
+559.375E-06,+281.026391E-03,+44.292438E-03
+560.938E-06,+283.016341E-03,+44.524850E-03
+562.500E-06,+285.006291E-03,+44.757262E-03
+564.063E-06,+261.445285E-03,+43.742815E-03
+565.625E-06,+237.884280E-03,+42.728368E-03
+567.188E-06,+214.323274E-03,+41.713921E-03
+568.750E-06,+190.762268E-03,+40.699473E-03
+570.313E-06,+167.201262E-03,+39.685026E-03
+571.875E-06,+143.640256E-03,+38.670579E-03
+573.438E-06,+120.079250E-03,+37.656132E-03
+575.000E-06,+96.518245E-03,+36.641685E-03
